,DATE_TIME,TEMPERATURE,Dew_Point,Wind_Direction,Wind_Speed
134,2021-01-05 14:51:00,5.0,-2.2,360.0,4.6
135,2021-01-05 15:51:00,5.0,-2.2,30.0,4.1
136,2021-01-05 16:51:00,5.6,-2.2,20.0,4.6
137,2021-01-05 17:51:00,5.0,-2.2,350.0,5.7
138,2021-01-05 18:51:00,5.0,-1.7,360.0,5.1
139,2021-01-05 19:51:00,5.0,-1.7,10.0,4.1
140,2021-01-05 20:51:00,5.0,-2.2,360.0,4.1
141,2021-01-05 21:51:00,4.4,-2.2,360.0,5.1
142,2021-01-05 22:51:00,4.4,-2.2,10.0,5.7
143,2021-01-05 23:51:00,4.4,-2.2,340.0,4.1
144,2021-01-06 00:51:00,4.4,-1.7,340.0,5.7
145,2021-01-06 01:51:00,3.3,-2.2,340.0,8.2
146,2021-01-06 02:49:00,3.0,-2.0,350.0,4.6
147,2021-01-06 02:51:00,2.8,-2.2,360.0,6.7
148,2021-01-06 03:33:00,2.2,-2.8,350.0,4.6
149,2021-01-06 03:51:00,2.2,-2.2,350.0,4.1
150,2021-01-06 04:51:00,2.8,-2.2,350.0,5.1
151,2021-01-06 04:59:00,,,,
152,2021-01-06 05:51:00,2.8,-2.2,340.0,4.6
153,2021-01-06 06:51:00,2.8,-1.7,330.0,5.1
154,2021-01-06 07:26:00,2.8,-1.7,340.0,5.7
155,2021-01-06 07:51:00,2.8,-1.7,340.0,5.1
156,2021-01-06 08:34:00,2.2,-1.7,310.0,3.6
157,2021-01-06 08:51:00,2.2,-1.7,320.0,4.1
158,2021-01-06 09:51:00,2.2,-1.7,340.0,3.1
159,2021-01-06 10:51:00,2.2,-1.1,310.0,4.6
160,2021-01-06 11:51:00,1.1,-1.7,330.0,3.6
161,2021-01-06 12:51:00,1.7,-1.1,340.0,4.1
162,2021-01-06 13:51:00,3.3,-1.1,330.0,5.1
163,2021-01-06 14:51:00,3.9,-2.2,340.0,9.3
164,2021-01-06 15:51:00,3.9,-2.2,350.0,8.8
165,2021-01-06 16:51:00,5.0,-2.8,330.0,9.3
166,2021-01-06 17:51:00,5.6,-3.9,340.0,8.2
167,2021-01-06 18:51:00,5.6,-5.0,310.0,7.7
168,2021-01-06 19:51:00,5.6,-5.0,330.0,8.8
169,2021-01-06 20:51:00,4.4,-4.4,310.0,9.8
170,2021-01-06 21:51:00,3.3,-4.4,310.0,8.2
171,2021-01-06 22:51:00,2.8,-5.0,310.0,10.3
172,2021-01-06 23:51:00,2.2,-5.0,320.0,9.3
173,2021-01-07 00:51:00,2.2,-4.4,320.0,9.3
174,2021-01-07 01:51:00,1.7,-4.4,320.0,7.7
175,2021-01-07 02:51:00,2.2,-4.4,330.0,8.2
176,2021-01-07 03:51:00,1.7,-4.4,330.0,6.2
177,2021-01-07 04:51:00,1.1,-5.0,310.0,6.7
178,2021-01-07 04:59:00,,,,
179,2021-01-07 05:51:00,1.1,-5.0,330.0,5.1
180,2021-01-07 06:51:00,1.1,-5.0,330.0,9.8
181,2021-01-07 07:51:00,0.6,-5.6,320.0,5.1
182,2021-01-07 08:51:00,0.0,-5.6,320.0,6.7
183,2021-01-07 09:51:00,0.0,-5.6,330.0,6.2
